"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"melhor_interesse";-0,0800565996430705;0,647799368982831;-1,27589465377788;1,30205386301323;-0,0413448844538368;0,33455318086548;-0,658930272718378;0,672440083128283;0,00251321624893197;0,140142328412634;0,47536051381041;0,381983941528024;4,35496657740263e-05;0,00285148826129934;0,0110616568575694;0,011519893061298;0,00679501698754247;0,960631942788769;0,00627053496833153
"família_extensa";1,02967587427253;1,52016535794842;0,841877136436283;-0,609963150310423;0,488006414817809;0,720469872897387;0,399000747064811;-0,289087020091897;0,281241191483501;0,522050151254109;0,140001656513354;0,0567070007490362;0,00690411815950026;0,0150483472414066;0,00461534926264031;0,00242278200139926;0,0065118912797282;1,16798129027152;0,00888339376323879
"cuidado";0,520249969975148;-0,635635764364797;1,08944719792078;-0,0302761918235046;0,381209201562764;-0,465757263243699;0,798284133459942;-0,0221846488755216;0,180547424252136;0,229528451947087;0,589572788901999;0,000351334898778027;0,00183913951025465;0,00274540990898948;0,00806497302643789;6,22863731370543e-06;0,00679501698754247;0,736531335770466;0,00368615000162057
"auto";0,209787137296288;-0,591264777609091;-0,941574982975304;0,713866650601664;0,15681218015884;-0,441959979162429;-0,703810670979552;0,533602713999741;0,0339920166609578;0,229951338718863;0,509902250498238;0,226154394121943;0,000299053066647599;0,00237549742179702;0,00602421369353302;0,0034627786738929;0,00679501698754247;0,684487000492779;0,00318361803291235
"assegurar";-2,79193159164858;0,935161181214139;0,874946017311894;-0,482585671244425;-0,897925525059395;0,300761342852617;0,281395276425633;-0,155206522084741;0,843279657205289;0,0805726648720606;0,0616712121067598;0,0144764658158879;0,0441386297420462;0,00495201831738291;0,00433482748137001;0,00131873686347923;0,00566251415628539;1,82891606357127;0,0189407359433128
"pedido";0,315480626531891;-0,682997860608248;-0,877656721882298;-1,47964040113021;0,168017399209769;-0,363748244913651;-0,467418875861555;-0,788020914933952;0,0427461169470934;0,170625004214194;0,246353386232523;0,540275492606187;0,000507220969112452;0,00237733561628482;0,00392555599840693;0,0111574300395871;0,00509626274065685;0,917908038562609;0,00429388250584411
"medida";-0,793233337518129;0,405392565810462;-0,246868033388386;1,30537544632933;-0,495915065347227;0,253444064005417;-0,154337407569112;0,81609700342969;0,350803465526528;0,0780308301557326;0,0253016918724625;0,545864012445275;0,00356296221829077;0,000930595313784765;0,000345095276948183;0,0096489527512996;0,00566251415628539;0,80564521869088;0,00367533532502534
"colocação";-0,988469399533474;0,695539033942134;-0,861675596277706;1,75259469806206;-0,430383208484325;0,302840250993492;-0,375176720669019;0,763086171084877;0,263585698921416;0,111145301649406;0,149156045611997;0,47611295381718;0,0066392191652145;0,00328725627001465;0,00504519705472621;0,0208714938324478;0,00679501698754247;1,15818282614172;0,00911475056921607
"agravo";-1,21615156800156;0,247459045657256;0,414687091245478;-0,879415696133976;-0,771386904327021;0,15695960289797;0,26302987225998;-0,557800334519248;0,703093429312441;0,0247911690453756;0,0608746606440641;0,211240740998118;0,00334999917633672;0,000138699839813363;0,000389502567713783;0,00175169188359412;0,00226500566251416;0,872481039518337;0,00172417477761948
"recurso";0,0843531874599345;-0,153506635938608;-0,496393769278443;0,522855567408557;0,113693818607574;-0,206900961860541;-0,669054778624448;0,704720803433106;0,019348596835585;0,0545699425177549;0,49894998258803;0,427131478058631;3,2233115445757e-05;0,000106746488231884;0,00111622547759212;0,00123840518400962;0,00453001132502831;0,364797264991877;0,000602840518892654
"prevalência";0,742383250129773;1,39563515295262;0,150332151852026;-0,646538156556073;0,433000453189084;0,814014397023993;0,0876823256309173;-0,377098102285952;0,223406300135981;0,672412215855824;0,00682182735240579;0,0973596566557891;0,00312079779203423;0,0110294308049664;0,000127971437601702;0,0023669965338784;0,00566251415628539;0,944833470996953;0,0050549846427868
"genitora";0,114970658125244;-0,855893572403829;0,166676764052504;0,97785105364381;0,0874169931570038;-0,650771629753077;0,126731305014684;0,743500996330999;0,0109496611073219;0,516795687764415;0,017136994320041;0,455117656808222;8,23333944095528e-05;0,00456290593437377;0,000173042231271322;0,00595590006468596;0,00622876557191393;0,66093917158847;0,0027209776183129
"condição";0,603658166846463;-0,564437268313013;0,0711590605805522;1,17436656174374;0,419856192400984;-0,392577281876466;0,0494925338064391;0,816795166828534;0,254485403344295;0,189480615639658;0,00263329198593231;0,553400689030114;0,00216661008788479;0,0018942180144603;3,01064127850625e-05;0,00819985086301762;0,00594563986409966;0,719837479636775;0,00308082840851821
"forma";-0,710853832443604;-0,675665859358185;0,585699082390321;0,542112609771488;-0,562195957615748;-0,534366697474727;0,463214294515623;0,428742877756424;0,383272730064668;0,29489265811815;0,193755606561204;0,128079005255976;0,0018598729400614;0,00168029914935703;0,0012626173262931;0,00108168716357653;0,0036806342015855;0,690718618090392;0,00175600190314188
"sentença";0,701226499246985;1,41010890155349;0,328366784878152;-0,0733309753837788;0,435441285978225;0,875636665358712;0,203906234623794;-0,0455364055086905;0,216759823646339;0,746483420072906;0,0353947199297868;0,00136203635096921;0,00264514537420086;0,0106964142612025;0,000580031189924426;2,89272953182307e-05;0,00537938844847112;0,906032420953257;0,00441591172382502
"além";0,495473818675947;-2,44666755753761;2,51643092278108;1,35924433513146;0,130516048028158;-0,644492944757116;0,662869775954887;0,35804757434024;0,0220756462448383;0,458431698054788;0,424033257276789;0,0954593984235838;0,000347528744328037;0,00847421027336785;0,00896436096988792;0,00261543765938131;0,00141562853907135;2,00603640964307;0,00569674699435682
"mãe";0,760243361370141;-0,518138694786888;1,6684185539812;0,0750905025203991;0,39871154543866;-0,27173914334185;0,87500631231754;0,039381403151901;0,200496327281562;0,0793132799724841;0,719066505363376;0,0011238873825782;0,0024545723464356;0,00114015164369533;0,0118217177432137;2,3946419459652e-05;0,00424688561721404;1,0213491670109;0,0044301562328165
"medida_de_proteção";-0,256376717585757;-0,397531019095681;-1,48372964542326;-0,87631197351654;-0,143472893357928;-0,222465308263045;-0,83032104940887;-0,490399500814884;0,0288173760888831;0,0590054355994513;0,718728234412612;0,193448953899053;0,000353581938018373;0,00085010965790537;0,0118424743922562;0,00413095436682917;0,00537938844847112;0,908502609473955;0,00444002345328389
"visita";-0,168891479597084;-0,742122408112414;-1,11279338201816;-1,47136480405169;-0,0846311422862298;-0,371875877128887;-0,557618272238641;-0,737297608995541;0,0107089539991424;0,176090274592845;0,346193197252598;0,467007574155413;0,000113063603150309;0,00218302360156171;0,00490836000987763;0,00858120085289609;0,00396375990939977;0,981768349832684;0,00382054566768536
"acolher";0,307958043816387;0,096933925655346;-0,190779023602361;0,119811585976337;0,782250059866087;0,246223700499147;-0,484601411233536;0,304335678786557;0,686281253305508;0,057905970114238;0,196127351560482;0,0596854250197687;0,000456469044385807;4,52251305295171e-05;0,000175181995864494;6,90916971349967e-05;0,00481313703284258;0,223622396701845;0,00024069042956215
"medida_protetiva";0,989474356883231;1,21091021006926;-0,168045784857817;-0,532233280013153;0,59593107224122;0,729295322162225;-0,101208994512381;-0,320548326527405;0,405978491566295;0,517810113823411;0,00871981105260716;0,0674915835576863;0,00415795372138796;0,00622722340111828;0,000119929441428991;0,00120302490523879;0,00424688561721404;0,934174146924005;0,00370617781758717
"já";0,191780071598776;0,508783955794067;0,381500986831865;-0,678344173837624;0,20200423370257;0,535908200750713;0,401839533478603;-0,714507998043458;0,0583795199522111;0,349923484277112;0,172029444575224;0,419667551195453;0,000145785487563432;0,00102606330448144;0,000576897520201477;0,0018239273653772;0,00396375990939977;0,477472133393263;0,000903656549926273
"idade";0,0901370202670732;-0,782617328994764;1,6888585376071;0,264059879532398;0,0478898014229712;-0,415804609079434;0,897290588903997;0,140295021480755;0,00301611615744738;0,193639207707997;0,78847169126779;0,0148729848667657;3,68049033867577e-05;0,0027745861093676;0,0129206938167538;0,000315866908170622;0,00453001132502831;0,987311007332484;0,00441577814360084
"ano";0,190833898912233;-0,997464655890426;1,76327226399008;0,876964512578365;0,0861260872285402;-0,450170166046415;0,795790169784876;0,395786715762673;0,0100024299770356;0,232724557278114;0,635903352174563;0,121369660570287;0,000144350531607197;0,00394368639765246;0,0123238411883902;0,00304839597636051;0,00396375990939977;1,14783001453938;0,00522230815172274
"vida";-0,842382624827133;-0,899195570542913;0,454319803185736;-0,567244225869704;-0,588872368940968;-0,628587782037281;0,317594844520541;-0,396535304992225;0,408576511581396;0,396474829691079;0,0884984816129887;0,106450177114535;0,00120545043025592;0,00137353228893091;0,000350633890543701;0,000546601379019004;0,00169875424688562;0,792770563124189;0,00106764184443303
"suspensão";-0,212513896083087;-0,272346798887223;-0,648928141825419;1,52932641294893;-0,125240627931295;-0,160501900046943;-0,38243225249011;0,90127659320102;0,0255765251900355;0,0357737223980719;0,177589784560141;0,761059967851752;0,000166225376095518;0,000273002866713909;0,0015499435255631;0,0086084118362011;0,0036806342015855;0,799358092811622;0,00235182720471819
"exercer";0,370709695364113;-0,363045014188758;0,167876213382122;1,52158158339182;0,229348442999835;-0,224606504184527;0,103860645236377;0,941362935505027;0,0858408424459301;0,0701131927375482;0,0131087807774372;0,830937184039084;0,000622539878763096;0,000597063113600522;0,000127666695445163;0,0104879298523993;0,00453001132502831;0,761135138969563;0,00262435651086848
"constituição_federal";-2,89387341373087;1,01183527931224;1,0536579560816;-0,345853242214418;-0,887669367963527;0,310371275608888;0,323200001591942;-0,10608733867485;0,825736389109186;0,0859715402607955;0,0815153794925136;0,00677669113750219;0,0355655577634414;0,00434800664974893;0,00471487155328731;0,000507988951657242;0,00424688561721404;1,91572704939758;0,0155861132267563
"apelação_cível";1,3587765784385;1,58302798625257;1,02082531690042;-1,14480407604319;0,524748865130487;0,611353001249452;0,394234736630184;-0,442114361722941;0,335108580040344;0,387364071476058;0,140847841771573;0,136679506712025;0,00627273088373625;0,00851408019906755;0,00354049035433128;0,00445269435738993;0,00339750849377123;1,41198502833411;0,00677361852856063
"acolhimento";0,0490453298074606;-0,183084104342326;-0,0984755969699984;0,280810156576356;0,139012247990219;-0,518926736058588;-0,279115548018925;0,795917802518816;0,0288140804570196;0,34195065003139;0,0865016874171016;0,542733582094489;8,85356084003215e-06;0,000123374082790717;3,56927411046909e-05;0,000290233995604103;0,0036806342015855;0,173808131353216;0,000111189259574875
