tramitação;0;3;0;0;0
solução;1;2;0;0;0
sogro;0;3;0;0;0
rol;0;0;0;3;0
restauração;0;0;0;0;3
respeitado;3;0;0;0;0
requerido;0;0;3;0;0
reintegração;3;0;0;0;0
redução;1;0;0;1;1
recomendado;0;0;1;0;2
psíquico;0;0;0;2;1
prover;1;0;0;0;2
promover;0;0;0;1;2
priorizam;3;0;0;0;0
prioritário;2;0;1;0;0
preservação;3;0;0;0;0
ppa;0;0;0;2;1
posteriormente;0;1;1;1;0
posterior;0;0;1;2;0
pessoa;0;2;0;1;0
perspectiva;2;0;0;1;0
perpetrar;0;0;1;0;2
permanecer;1;2;0;0;0
passo;0;0;3;0;0
parente;0;1;2;0;0
parcialmente;0;0;0;0;3
olvidar;0;0;3;0;0
observância;1;0;1;1;0
nortear;0;0;3;0;0
nomear;0;0;2;1;0
nascer;0;2;0;1;0
nacional;1;0;0;2;0
mudança;0;1;0;1;1
motivo;0;0;0;3;0
manifestar;0;3;0;0;0
liça;0;0;3;0;0
interessado;0;1;1;1;0
integrante;0;0;3;0;0
indeferimento;0;0;0;0;3
inclusão;0;0;0;1;2
inc;2;1;0;0;0
habilitação;3;0;0;0;0
habilitado;0;0;1;2;0
fundamental;1;0;2;0;0
expor;1;1;0;0;1
estímulo;1;1;1;0;0
estágio;0;1;0;0;2
estudo;0;1;1;0;1
especialmente;0;1;0;2;0
drástico;0;0;0;2;1
ditame;3;0;0;0;0
desejo;0;2;0;0;1
denotar;0;1;1;0;1
decorrente;0;0;1;0;2
dano;1;0;2;0;0
cotejo;0;0;3;0;0
comportamento;0;1;1;0;1
causar;0;0;0;0;3
busca;0;2;0;0;1
auxílio;0;1;2;0;0
autorização;0;0;0;2;1
autor;0;0;3;0;0
atuante;0;0;2;1;0
atinente;0;0;3;0;0
apto;0;1;1;0;1
alto;0;2;0;0;1
alimento;1;0;0;1;1
ajuizado;0;0;0;2;1
afinidade;0;0;2;0;1
afetividade;0;0;2;0;1
acordo;1;1;0;0;1
abuso;0;1;1;0;1
