"";"";"";"";"curador";""
"55";"formação";"0.301883882634478";"-0.630670094026275";"0.885509147393856";"296"
"56";"apenas";"0.796670972984641";"0.349386453183464";"0.885509147393856";"297"
"57";"vinculação";"1.1494243643454";"1.00699252314778";"0.881074214704867";"301"
"58";"inviabilidade";"0.549632171916677";"0.135157000586183";"0.879190887124612";"305"
"59";"constatar";"0.304410885067836";"-1.97822895392941";"0.878522609596134";"306"
"60";"contato";"-0.300829692147667";"-1.3606391616348";"0.878522609596134";"307"
"61";"observar";"-1.17148191475904";"0.179133316083595";"0.877003797031412";"308"
"62";"impossibilidade";"0.454487213164323";"0.000483305884535025";"0.87630514325164";"309"
"63";"restar";"0.693510519380824";"0.0291857032460224";"0.875667241974456";"310"
"64";"possuir";"0.366413861314968";"-1.23600258186339";"0.870685536762168";"319"
"65";"devidamente";"0.367255157382367";"0.417134256977617";"0.864853296513635";"321"
"66";"recurso";"0.0843531874599345";"-0.153506635938608";"0.863638246461857";"322"
"67";"pretensão";"-0.117505230972697";"-0.65592297396056";"0.858929927511219";"324"
"68";"infante";"0.0549297695527379";"0.0119964177835541";"0.85340144977563";"326"
"69";"acercar";"0.304410885067836";"-1.97822895392941";"0.850211943389714";"327"
"70";"suspenso";"0.255381650449129";"-1.1873398730758";"0.850211943389714";"329"
"71";"afastamento";"0.654637273995236";"0.026935975938041";"0.850211943389714";"330"
"72";"forma";"-0.710853832443604";"-0.675665859358185";"0.850029685881947";"331"
"73";"residir";"1.05583604095979";"0.761596330250319";"0.849513289609941";"332"
"74";"conflito";"0.340601869842771";"-0.993869586728542";"0.849513289609941";"333"
"75";"estatuto_da_criança_e_do_adolescente";"-0.477703614759806";"-0.292551482503336";"0.849057645840525";"334"
"76";"instituição";"-0.714124241247618";"0.194344064623817";"0.84006627545737";"339"
"77";"evidenciar";"-0.780379648580001";"-0.156969198476885";"0.827612012426648";"343"
"78";"ainda";"0.632584277012373";"-0.426485349187495";"0.827612012426648";"344"
"79";"risco";"-0.0363439447391673";"0.347250644309853";"0.827612012426648";"345"
"80";"vida";"-0.842382624827133";"-0.899195570542913";"0.820473593372454";"346"
"81";"desenvolvimento";"-0.811381136703567";"-0.528082384509899";"0.820473593372454";"347"
