"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"auto";-0,602954701497054;-1,09486413898827;-1,28443323455634;-0,336429056439481;-0,610898477604869;-0,716671849623867;0,246473980268572;0,354700808293778;0,39882521143765;0,0019009378931106;0,00626785611943807;0,00862624174657708;0,00522875816993464;1,03648917142139;0,00561730615672577
"recurso";1,32545749819887;0,0741584314436046;0,0814077662827846;0,99656647905196;0,0557572061089814;0,0612077347800006;0,997295973527406;0,00136255340272813;0,00134147306986473;0,00820185611359294;2,56744769102512e-05;3,09394230212534e-05;0,00466853408029879;1,13271172511104;0,00598989660225973
"genitora";-0,676829100264212;-0,758286012506178;-0,389306253950342;-0,621846419486345;-0,696686123039732;-0,357680690750675;0,600310069841703;0,32886956329699;0,0708203668613074;0,00239528173053314;0,00300652380006546;0,000792467238509009;0,00522875816993464;0,745515764331289;0,00290611113655669
"condição";-0,612414811849111;-1,32094158520733;-0,762638070964722;-0,372596479381022;-0,803667995276217;-0,463993121631749;0,279054255580178;0,566636455631359;0,154309288788462;0,00189101799212865;0,00879774792368093;0,00293252181824265;0,00504201680672269;0,989388785936703;0,00493558068775111
"cuidado";-0,697748562556583;-1,12026965915274;0,500901821673683;-0,49427821951462;-0,793588008943211;0,354833924216677;0,433114933095639;0,487293270348172;0,079591796556188;0,00263655250045632;0,00679647416756819;0,00135876310246955;0,00541549953314659;0,904821672085409;0,00443368169747668
"colocação";-0,308947143929478;0,950781909281123;-0,440918150745601;-0,282755137587917;0,870176257839924;-0,403537869919718;0,170650505194927;0,705409066653351;0,123940428151723;0,000409955512244665;0,00388266731977104;0,000834995846892471;0,00429505135387488;0,63825763426326;0,00174968712922365
"princípio";-0,22951431170749;2,21830851614807;-0,265069033217923;-0,102194966324435;0,987737812158237;-0,118026282203613;0,0236698515368747;0,965072393094224;0,0112577553689032;0,000118043292500981;0,0110272104712943;0,000157448946489825;0,00224089635854342;1,27314429239454;0,00363226081626172
"prevalência";-0,507205216022379;1,59446082107711;0,531082977566286;-0,288931414078445;0,908290776935071;0,302533473343555;0,1753109130506;0,756152239947225;0,0685368470021775;0,000624527115795332;0,0061717962706533;0,000684713105095938;0,00242763772175537;1,03381982913378;0,00259461899317135
"forma";-0,685565190845485;-0,770538497666624;-1,9588614367034;-0,309679377409203;-0,348063007593692;-0,884845085849654;0,224088329644962;0,123552180732484;0,652359489622553;0,000702146974265555;0,000886990963789115;0,00573241923914654;0,00149393090569561;1,2359609836405;0,0022821281838754
"assegurar";1,0821118758259;-0,0914363827617048;-0,579190887819079;0,879217086353885;-0,0742921613138445;-0,470593231815654;0,904755788995206;0,00281945473742609;0,0924247562673671;0,00109333903996587;7,80636049724088e-06;0,000313223234857753;0,000933706816059757;0,970894633514921;0,000880146021837604
"sentença";-0,348305350125571;0,0445438022575152;-0,330674008790288;-0,722124845568435;0,0923505375804378;-0,685570627741131;0,752710389841775;0,0053730663081338;0,24191654385009;0,000475751438925868;7,78098164532005e-06;0,000428805098389958;0,00392156862745098;0,342619291496601;0,000460345015316209
"pedido";-0,53793563900209;1,1904540757917;0,0535953999511814;-0,411438469035644;0,91051524920266;0,0409922817981974;0,318366660817276;0,680506453638836;0,00112688554389086;0,00118884118348999;0,00582221847703448;1,18009844463858e-05;0,00410830999066293;0,813639734197738;0,00271974072370459
"risco";-0,570136669269452;0,654606063592516;1,12553995744535;-0,401106541225854;0,460533040910186;0,791847751032892;0,337260695980741;0,194047405376608;0,468691898642653;0,00127472871233594;0,00168042783722388;0,00496800076786698;0,00392156862745098;0,837841235386266;0,0027528546498572
"além";-0,690283520773683;-1,0451190947424;0,938188378039647;-0,441099353092307;-0,667843491437535;0,599513495799778;0,376054139350264;0,376241707341572;0,247704153308162;0,000800825779918843;0,00183575449108433;0,00147932341628347;0,00168067226890756;0,960656092474545;0,00155102542522431
"visita";-0,471406921411442;0,461911995664024;-1,24481968807512;-0,334578356256238;0,327839387214727;-0,883503627449003;0,256049458025256;0,10729770728758;0,636652834687163;0,00095446557754549;0,000916403718017066;0,00665550873647934;0,00429505135387488;0,795059528608339;0,0027149863758564
"mãe";-0,652440975649804;-0,579381277184141;1,97017480297106;-0,302791859401927;-0,268885524926645;0,914340015729841;0,217595221604043;0,0748920674335485;0,707512710962407;0,001589838381725;0,00125371676695248;0,0144970635079816;0,00373482726423903;1,19366421434501;0,00532150982860086
"idade";-0,674321498350014;-0,777737330535381;0,38219736251675;-0,614121978399414;-0,708305443727007;0,348076994404222;0,589920313570829;0,342503677341135;0,0675760090880345;0,00178317444367454;0,0023720602168953;0,000572842446724548;0,00392156862745098;0,749265874260106;0,00220156607972847
"ano";-0,706288711530023;-1,28193705162765;1,0584509739798;-0,391025746140189;-0,709724485092732;0,585994898540393;0,308770228172968;0,443960465186233;0,247269306640797;0,00186309521581602;0,00613767545970415;0,00418419594516821;0,00373482726423903;1,08475129752036;0,0043947166292142
"agravante";-0,742187348697762;-1,58493627544813;-1,86044357288777;-0,290571310263307;-0,620513150822181;-0,728376100176684;0,191168791061117;0,380498999846309;0,428332209092574;0,00216016494340005;0,00985107057737802;0,013573530540782;0,00392156862745098;1,4486740237315;0,0082300252040565
"protetiva";-0,539649707566911;1,12227731654471;0,664808661031098;-0,382288402658195;0,795022394463555;0,470951132809426;0,291648047934892;0,550523118092491;0,15782883397262;0,00108766314426537;0,00470403874969484;0,00165068368172535;0,00373482726423903;0,852801649418078;0,00271623026423975
"já";-0,688962388393787;-0,968236527561183;0,127014429911592;-0,576485325567286;-0,810166359180429;0,106278595483323;0,533581375045652;0,459952060811991;0,00646656414235579;0,00177280736739971;0,00350133323362741;6,02527186023037e-05;0,00373482726423903;0,804934988203026;0,00241987053308461
"acolher";-0,528208212842564;-0,707889506649633;0,0741703166911535;-0,595937754555494;-0,798658697099655;0,0836808116741083;0,558368853587159;0,437705339086345;0,00392580732649453;0,00104203143273328;0,0018715501535935;2,05461657444108e-05;0,00373482726423903;0,603267848115235;0,00135922351659976
"suspensão";-0,489167049502112;1,8936119674339;-0,0551829852040302;-0,250014843418154;0,967831132564226;-0,0282042002198931;0,132538325876757;0,866860229979868;0,000601444143376647;0,000938370205170985;0,0140618285616035;1,19418112001107e-05;0,00392156862745098;1,14670598007909;0,00515660629313391
"apelante";-0,5714985878059;-1,53646215422235;-0,133553779973357;-0,347470889655448;-0,93416831299483;-0,0812006393967702;0,239570331311287;0,755764440321159;0,00466522836755434;0,00109785087685425;0,00793517966842887;5,99549988073006e-05;0,00336134453781513;0,996470089874239;0,00333765593282008
"santo";2,07548983084251;-0,214517962771864;-0,0438447582981743;0,994481474048641;-0,102787369351107;-0,0210084382075604;0,995201429265443;0,00464020436509261;0,000158366369464455;0,0160883586850818;0,00017186911802723;7,17969311008524e-06;0,00373482726423903;1,77554112915536;0,0117742158779543
"prever";0,153028500880465;0,82120284232089;0,663016303561371;0,143489149884515;0,770011449170603;0,621685798463828;0,0493522546117584;0,620302093706854;0,33034565168139;1,7492229379438e-05;0,00050373416114727;0,000328359005630763;0,000746965452847806;0,587874263217503;0,000258148384204312
"exercer";-0,754998109163448;-1,77229448440511;-1,79484380630811;-0,286748055074786;-0,673116912817215;-0,681681138502636;0,184493899626273;0,443712908621248;0,37179319175248;0,00170314739821589;0,00938495683123141;0,00962529012599092;0,00298786181139122;1,50010093329666;0,00672359383029698
"elemento";-0,325408154053979;-0,214682766675028;-1,17620524687055;-0,262610627527765;-0,173253114200001;-0,949220215086823;0,170978371987308;0,0324801997250807;0,79654142828761;0,000355934341932162;0,000154919967419309;0,00465028162274222;0,00336134453781513;0,671619759788756;0,00151621210668473
"vínculo";-0,702834791415933;-1,19670395930081;0,555565572199266;-0,470154612435334;-0,800523669369602;0,371640276591235;0,40190621220259;0,508547683873431;0,0895461039239777;0,00110695068689004;0,00320918849570025;0,000691659619076971;0,00224089635854342;0,946142420599648;0,00200601788248328
"institucionalmente";-0,717929101563327;-1,37442078277518;0,0314000742926371;-0,462896860468654;-0,886180911073408;0,0202457259037048;0,38457097385343;0,615166705444539;0,000262320702030194;0,00182876222270009;0,00670244953769611;3,49828732886637e-06;0,00354808590102708;0,9880045157472;0,00346347442382826
