"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"375";2;5;7;8;11;13;15;15;15
"376";2;5;7;8;11;13;14;14;14
"377";2;5;7;8;10;10;10;10;10
"378";3;3;3;3;3;3;3;3;3
"379";2;5;7;8;11;12;12;17;19
"380";2;5;7;8;11;12;12;17;19
"381";2;5;7;8;11;13;14;14;14
"382";2;5;7;8;11;13;14;14;14
"383";3;3;3;3;3;3;3;3;3
"384";2;5;7;8;11;12;12;17;19
"385";2;5;7;8;11;13;15;15;15
"386";2;4;4;4;4;4;4;4;4
"387";2;4;4;4;4;4;4;4;4
"388";3;3;3;3;3;3;3;3;3
"389";2;5;6;6;6;6;6;6;6
"390";2;5;7;8;11;13;14;14;14
"391";2;5;7;8;11;12;12;17;19
"392";2;5;7;8;11;12;12;16;16
"393";2;5;7;8;11;13;14;14;14
"394";2;5;7;8;11;13;14;14;14
"395";3;3;3;3;3;3;3;3;3
"396";2;5;7;8;11;12;12;17;19
"397";2;5;7;8;10;10;10;10;10
"398";2;5;7;8;11;13;14;14;14
"399";2;5;7;8;11;12;12;16;16
"400";2;5;7;8;11;12;12;17;19
"401";3;3;3;3;3;3;3;3;3
"402";2;5;7;8;11;12;12;17;19
"403";2;5;7;8;11;12;12;16;16
"404";2;5;7;8;11;13;14;14;14
"405";2;5;7;8;11;13;14;14;14
"406";2;5;7;8;11;13;14;14;14
"407";3;3;3;3;3;3;3;3;3
"408";2;5;7;8;11;12;12;17;19
"409";2;5;7;8;11;12;12;17;19
"410";2;5;7;8;11;13;14;14;14
"411";2;5;7;8;11;13;15;15;15
"412";2;5;7;8;11;12;12;17;19
"413";3;3;3;3;3;3;3;3;3
"414";3;3;3;3;3;3;3;3;3
"415";2;5;6;6;6;6;6;6;6
"416";2;5;7;9;9;9;9;9;9
"417";2;5;7;8;11;12;12;17;19
"418";2;5;7;8;11;12;12;16;16
"419";2;5;7;8;11;13;14;14;14
"420";2;5;7;8;11;13;14;14;14
"421";3;3;3;3;3;3;3;3;3
"422";2;5;7;8;11;12;12;17;19
"423";2;5;7;8;11;13;14;14;14
"424";2;5;7;8;11;13;15;15;15
"425";2;5;7;8;10;10;10;10;10
"426";2;5;7;8;11;13;15;15;15
"427";3;3;3;3;3;3;3;3;3
"428";2;5;7;8;11;12;12;17;19
"429";2;5;7;8;11;13;14;14;14
"430";2;5;7;8;11;13;15;15;15
"431";2;5;7;8;11;13;15;15;15
"432";2;5;7;8;11;13;14;14;14
"433";2;5;7;8;11;12;12;16;16
"434";2;5;7;8;11;12;12;17;19
"435";3;3;3;3;3;3;3;3;3
"436";2;5;6;6;6;6;6;6;6
"437";2;5;7;8;11;13;14;14;14
"438";2;5;7;8;11;13;14;14;14
"439";2;5;7;8;11;13;14;14;14
"440";2;5;7;8;11;13;14;14;14
"441";3;3;3;3;3;3;3;3;3
"442";2;5;7;8;11;13;14;14;14
"443";2;5;7;8;11;12;12;16;16
"444";2;5;7;8;11;12;12;16;16
"445";2;5;7;8;10;10;10;10;10
"446";2;4;4;4;4;4;4;4;4
"447";2;4;4;4;4;4;4;4;4
"448";2;5;7;8;11;12;12;16;16
"449";2;5;7;8;11;12;12;16;16
"450";2;5;7;8;11;12;12;17;19
"451";2;5;7;8;11;12;12;16;16
"452";3;3;3;3;3;3;3;3;3
"453";2;5;7;8;11;13;14;14;14
"454";2;5;7;8;11;13;14;14;14
"455";2;5;7;8;11;13;14;14;14
"456";2;5;7;8;11;13;15;15;15
"457";2;5;7;8;11;13;14;14;14
"458";2;5;7;8;11;12;12;16;16
"459";2;5;7;8;11;13;15;15;15
"460";2;5;7;8;11;13;15;15;15
"461";3;3;3;3;3;3;3;3;3
"462";2;5;7;8;11;13;14;14;14
"463";2;5;7;8;11;13;15;15;15
"464";2;5;7;8;11;13;14;14;14
"465";2;5;7;8;11;13;15;15;15
"466";2;5;7;8;11;13;15;15;15
"467";3;3;3;3;3;3;3;3;3
"468";2;5;7;8;11;12;12;17;19
"469";2;5;7;8;11;13;15;15;15
"470";2;5;7;8;11;12;12;17;19
"471";2;5;7;8;11;13;14;14;14
"472";2;5;7;8;11;13;14;14;14
"473";2;5;7;8;11;13;14;14;14
"474";3;3;3;3;3;3;3;3;3
