precedentes do;3;0;0;2
do tjrs;3;0;0;2
tjrs agravo;3;0;0;1
agravo interno;5;0;1;0
interno desprovido;5;0;0;0
precedentes do tjrs;3;0;0;2
do tjrs agravo;3;0;0;1
agravo interno desprovido;5;0;0;0
interno desprovido agravo;5;0;0;0
precedentes do tjrs agravo;3;0;0;1
agravo interno desprovido agravo;5;0;0;0
interno desprovido agravo de;5;0;0;0
agravo interno desprovido agravo de;5;0;0;0
interno desprovido agravo de instrumento;5;0;0;0
agravo interno desprovido agravo de instrumento;5;0;0;0
interno desprovido agravo de instrumento n;5;0;0;0
agravo interno desprovido agravo de instrumento n;5;0;0;0
do melhor;2;0;0;12
melhor interesse;2;0;0;22
dos infantes;1;2;2;4
desprovido apelação;6;1;0;0
em 04;4;0;0;0
do melhor interesse;2;0;0;12
desprovido apelação cível;6;1;0;0
julgado em 04;4;0;0;0
desprovido apelação cível n;6;1;0;0
decisão da;2;1;0;5
relator sandra;9;0;0;0
sandra brisolara;9;0;0;0
brisolara medeiros;9;0;0;0
medeiros julgado;9;0;0;0
em 27;6;0;0;0
rs relator sandra;9;0;0;0
relator sandra brisolara;9;0;0;0
sandra brisolara medeiros;9;0;0;0
brisolara medeiros julgado;9;0;0;0
medeiros julgado em;9;0;0;0
julgado em 27;6;0;0;0
do rs relator sandra;9;0;0;0
rs relator sandra brisolara;9;0;0;0
relator sandra brisolara medeiros;9;0;0;0
sandra brisolara medeiros julgado;9;0;0;0
brisolara medeiros julgado em;9;0;0;0
justiça do rs relator sandra;9;0;0;0
do rs relator sandra brisolara;9;0;0;0
rs relator sandra brisolara medeiros;9;0;0;0
relator sandra brisolara medeiros julgado;9;0;0;0
sandra brisolara medeiros julgado em;9;0;0;0
de justiça do rs relator sandra;9;0;0;0
justiça do rs relator sandra brisolara;9;0;0;0
do rs relator sandra brisolara medeiros;9;0;0;0
rs relator sandra brisolara medeiros julgado;9;0;0;0
relator sandra brisolara medeiros julgado em;9;0;0;0
tribunal de justiça do rs relator sandra;9;0;0;0
de justiça do rs relator sandra brisolara;9;0;0;0
justiça do rs relator sandra brisolara medeiros;9;0;0;0
do rs relator sandra brisolara medeiros julgado;9;0;0;0
rs relator sandra brisolara medeiros julgado em;9;0;0;0
cível tribunal de justiça do rs relator sandra;9;0;0;0
tribunal de justiça do rs relator sandra brisolara;9;0;0;0
de justiça do rs relator sandra brisolara medeiros;9;0;0;0
justiça do rs relator sandra brisolara medeiros julgado;9;0;0;0
do rs relator sandra brisolara medeiros julgado em;9;0;0;0
câmara cível tribunal de justiça do rs relator sandra;9;0;0;0
cível tribunal de justiça do rs relator sandra brisolara;9;0;0;0
tribunal de justiça do rs relator sandra brisolara medeiros;9;0;0;0
de justiça do rs relator sandra brisolara medeiros julgado;9;0;0;0
justiça do rs relator sandra brisolara medeiros julgado em;9;0;0;0
relator josé;11;0;0;0
josé antônio;13;0;0;0
antônio daltoe;13;0;0;0
daltoe cezar;13;0;0;0
cezar julgado;13;0;0;0
rs relator josé;11;0;0;0
relator josé antônio;11;0;0;0
josé antônio daltoe;13;0;0;0
antônio daltoe cezar;13;0;0;0
daltoe cezar julgado;13;0;0;0
cezar julgado em;13;0;0;0
do rs relator josé;11;0;0;0
rs relator josé antônio;11;0;0;0
relator josé antônio daltoe;11;0;0;0
josé antônio daltoe cezar;13;0;0;0
antônio daltoe cezar julgado;13;0;0;0
daltoe cezar julgado em;13;0;0;0
justiça do rs relator josé;11;0;0;0
do rs relator josé antônio;11;0;0;0
rs relator josé antônio daltoe;11;0;0;0
relator josé antônio daltoe cezar;11;0;0;0
josé antônio daltoe cezar julgado;13;0;0;0
antônio daltoe cezar julgado em;13;0;0;0
de justiça do rs relator josé;11;0;0;0
justiça do rs relator josé antônio;11;0;0;0
do rs relator josé antônio daltoe;11;0;0;0
rs relator josé antônio daltoe cezar;11;0;0;0
relator josé antônio daltoe cezar julgado;11;0;0;0
josé antônio daltoe cezar julgado em;13;0;0;0
tribunal de justiça do rs relator josé;11;0;0;0
de justiça do rs relator josé antônio;11;0;0;0
justiça do rs relator josé antônio daltoe;11;0;0;0
do rs relator josé antônio daltoe cezar;11;0;0;0
rs relator josé antônio daltoe cezar julgado;11;0;0;0
relator josé antônio daltoe cezar julgado em;11;0;0;0
cível tribunal de justiça do rs relator josé;11;0;0;0
tribunal de justiça do rs relator josé antônio;11;0;0;0
de justiça do rs relator josé antônio daltoe;11;0;0;0
justiça do rs relator josé antônio daltoe cezar;11;0;0;0
do rs relator josé antônio daltoe cezar julgado;11;0;0;0
rs relator josé antônio daltoe cezar julgado em;11;0;0;0
câmara cível tribunal de justiça do rs relator josé;11;0;0;0
cível tribunal de justiça do rs relator josé antônio;11;0;0;0
tribunal de justiça do rs relator josé antônio daltoe;11;0;0;0
de justiça do rs relator josé antônio daltoe cezar;11;0;0;0
justiça do rs relator josé antônio daltoe cezar julgado;11;0;0;0
do rs relator josé antônio daltoe cezar julgado em;11;0;0;0
em 29;4;0;0;0
julgado em 29;4;0;0;0
pretensão de;1;0;0;6
em 16;4;0;0;0
julgado em 16;4;0;0;0
em 11;7;0;0;0
julgado em 11;7;0;0;0
da decisão;3;1;1;24
09 2023;4;0;0;0
da decisão agravada;1;0;0;4
relator mauro;12;0;0;0
mauro caum;14;0;0;0
caum gonçalves;14;0;0;0
gonçalves julgado;14;0;0;0
rs relator mauro;12;0;0;0
relator mauro caum;12;0;0;0
mauro caum gonçalves;14;0;0;0
caum gonçalves julgado;14;0;0;0
gonçalves julgado em;14;0;0;0
do rs relator mauro;12;0;0;0
rs relator mauro caum;12;0;0;0
relator mauro caum gonçalves;12;0;0;0
mauro caum gonçalves julgado;14;0;0;0
caum gonçalves julgado em;14;0;0;0
justiça do rs relator mauro;12;0;0;0
do rs relator mauro caum;12;0;0;0
rs relator mauro caum gonçalves;12;0;0;0
relator mauro caum gonçalves julgado;12;0;0;0
mauro caum gonçalves julgado em;14;0;0;0
de justiça do rs relator mauro;12;0;0;0
justiça do rs relator mauro caum;12;0;0;0
do rs relator mauro caum gonçalves;12;0;0;0
rs relator mauro caum gonçalves julgado;12;0;0;0
relator mauro caum gonçalves julgado em;12;0;0;0
tribunal de justiça do rs relator mauro;12;0;0;0
de justiça do rs relator mauro caum;12;0;0;0
justiça do rs relator mauro caum gonçalves;12;0;0;0
do rs relator mauro caum gonçalves julgado;12;0;0;0
rs relator mauro caum gonçalves julgado em;12;0;0;0
cível tribunal de justiça do rs relator mauro;12;0;0;0
tribunal de justiça do rs relator mauro caum;12;0;0;0
de justiça do rs relator mauro caum gonçalves;12;0;0;0
justiça do rs relator mauro caum gonçalves julgado;12;0;0;0
do rs relator mauro caum gonçalves julgado em;12;0;0;0
câmara cível tribunal de justiça do rs relator mauro;12;0;0;0
cível tribunal de justiça do rs relator mauro caum;12;0;0;0
tribunal de justiça do rs relator mauro caum gonçalves;12;0;0;0
de justiça do rs relator mauro caum gonçalves julgado;12;0;0;0
justiça do rs relator mauro caum gonçalves julgado em;12;0;0;0
que melhor;1;0;1;2
a sua;1;2;0;3
para o;2;0;3;1
agravo desprovido;4;1;1;0
o seu;2;4;0;3
manutenção da;2;4;1;14
da origem;1;1;1;5
manutenção da decisão;2;1;0;13
da decisão da;1;1;0;5
decisão da origem;1;1;0;5
manutenção da decisão da;1;1;0;5
da decisão da origem;1;1;0;5
manutenção da decisão da origem;1;1;0;5
princípio do;1;0;0;10
interesse da;2;0;1;19
da criança;3;3;7;30
criança que;1;1;1;1
a manutenção;1;0;2;5
manutenção do;1;0;1;9
perda do;1;0;2;1
do poder;2;14;14;37
poder familiar;4;19;18;44
princípio do melhor;1;0;0;9
melhor interesse da;1;0;0;18
interesse da criança;2;0;1;15
a manutenção do;1;0;0;4
do poder familiar;2;14;14;36
princípio do melhor interesse;1;0;0;9
do melhor interesse da;1;0;0;11
melhor interesse da criança;1;0;0;15
princípio do melhor interesse da;1;0;0;8
do melhor interesse da criança;1;0;0;11
princípio do melhor interesse da criança;1;0;0;8
a decisão;1;0;3;8
da guarda;1;3;2;3
avó materna;1;2;8;2
negaram provimento;4;2;1;1
provimento unânime;4;2;1;2
unânime agravo;7;0;0;0
negaram provimento unânime;3;2;1;1
unânime agravo de;7;0;0;0
unânime agravo de instrumento;7;0;0;0
unânime agravo de instrumento n;7;0;0;0
gonçalves julgado em 11;4;0;0;0
caum gonçalves julgado em 11;4;0;0;0
mauro caum gonçalves julgado em 11;4;0;0;0
direito da;2;0;0;3
a convivência;1;4;4;2
convivência familiar;1;2;1;7
a convivência familiar;1;1;0;2
05 2022;4;0;0;0
em 05;3;0;1;0
ausência de;1;4;1;1
núcleo familiar;1;0;2;2
ao menos;1;1;2;0
por ora;1;1;1;2
sua colocação;1;0;1;2
colocação em;1;1;5;10
das crianças;1;0;1;3
colocação em família;1;1;5;10
colocação em família substituta;1;1;5;10
aos autos;1;0;4;1
é de;1;1;1;1
de se;2;1;1;0
para que;1;2;3;1
as visitas;1;0;1;2
o interesse;1;0;1;2
com o;1;5;4;4
bem estar;1;0;3;0
criança e;1;1;3;15
falta de;1;0;6;1
de condições;1;0;3;0
da apelante;1;3;3;0
com os;1;6;7;1
apelo desprovido;5;1;1;0
falta de condições;1;0;3;0
apelo desprovido apelação;5;0;0;0
apelo desprovido apelação cível;5;0;0;0
apelo desprovido apelação cível n;5;0;0;0
a fim;1;0;2;1
fim de;1;0;2;1
o direito;1;0;0;3
da infante;1;1;4;7
à convivência;1;1;1;3
desenvolvimento saudável;1;0;1;4
a fim de;1;0;2;1
sentença confirmada;1;1;0;2
pátrio poder;1;1;0;2
eca ação;1;1;1;10
ação de;1;4;3;29
de destituição;1;4;3;18
eca ação de;1;1;1;10
