;x
menor verificada situação de risco;3
manteve convivência com a mãe;3
ao passo que não manteve;3
passo que não manteve convivência;3
que não manteve convivência com;3
lf de art lf de;3
de art lf de art;3
processo de destituição do poder;3
adolescente medida de proteção acolhimento;2
acolhimento institucional melhor interesse da;2
institucional melhor interesse da criança;2
agravo de instrumento medida protetiva;2
destituição do poder familiar determinação;2
do poder familiar determinação de;2
adolescente agravo de instrumento desprovido;2
eca medida de proteção de;2
acolhimento institucional pretensão do genitor;2
inexistem elementos suficientes a autorizar;2
elementos suficientes a autorizar a;2
suficientes a autorizar a reforma;2
a autorizar a reforma da;2
autorizar a reforma da decisão;2
melhor interesse da criança juízo;2
interesse da criança juízo a;2
da criança juízo a quo;2
criança juízo a quo observou;2
juízo a quo observou devidamente;2
a quo observou devidamente o;2
quo observou devidamente o caso;2
observou devidamente o caso concreto;2
devidamente o caso concreto motivo;2
o caso concreto motivo pelo;2
caso concreto motivo pelo qual;2
concreto motivo pelo qual deve;2
motivo pelo qual deve ser;2
pelo qual deve ser mantida;2
qual deve ser mantida a;2
ser mantida a decisão que;2
mantida a decisão que determinou;2
a decisão que determinou a;2
decisão que determinou a suspensão;2
que determinou a suspensão do;2
determinou a suspensão do poder;2
do poder familiar e da;2
poder familiar e da convivência;2
medidas protetivas mantidas precedentes decisão;2
protetivas mantidas precedentes decisão agravada;2
mantidas precedentes decisão agravada mantida;2
precedentes decisão agravada mantida recurso;2
decisão agravada mantida recurso desprovido;2
da proteção integral e prioritária;2
ser criado e educado no;2
criado e educado no seio;2
da aplicação de medidas de;2
que determinou o acolhimento institucional;2
condições de exercer os cuidados;2
pelo colegiado agravo interno desprovido;2
possibilidade de julgamento na forma;2
de julgamento na forma monocrática;2
julgamento na forma monocrática ausente;2
na forma monocrática ausente prejuízo;2
forma monocrática ausente prejuízo tratando;2
monocrática ausente prejuízo tratando se;2
ausente prejuízo tratando se de;2
prejuízo tratando se de recurso;2
matéria autorizado estava o relator;2
autorizado estava o relator a;2
estava o relator a proceder;2
o relator a proceder ao;2
relator a proceder ao julgamento;2
a proceder ao julgamento singular;2
proceder ao julgamento singular ademais;2
ao julgamento singular ademais o;2
julgamento singular ademais o recurso;2
singular ademais o recurso está;2
ademais o recurso está sendo;2
o recurso está sendo levado;2
recurso está sendo levado a;2
está sendo levado a julgamento;2
sendo levado a julgamento pelo;2
levado a julgamento pelo órgão;2
julgamento pelo órgão colegiado afastando;2
pelo órgão colegiado afastando qualquer;2
órgão colegiado afastando qualquer prejuízo;2
colegiado afastando qualquer prejuízo que;2
afastando qualquer prejuízo que se;2
que se possa cogitar aplicação;2
se possa cogitar aplicação do;2
possa cogitar aplicação do art;2
cogitar aplicação do art xxxvi;2
aplicação do art xxxvi do;2
do art xxxvi do ritjrs;2
art xxxvi do ritjrs combinado;2
xxxvi do ritjrs combinado com;2
do ritjrs combinado com o;2
ritjrs combinado com o art;2
combinado com o art viii;2
com o art viii do;2
o art viii do cpc;2
art viii do cpc precedentes;2
viii do cpc precedentes do;2
do cpc precedentes do tjrs;2
seu direito à convivência familiar;2
precedentes do tjrs agravo interno;2
do tjrs agravo interno desprovido;2
de negligência e vulnerabilidade social;2
para colocação em família substituta;2
acolhimento institucional da criança e;2
de instrumento ação de acolhimento;2
instrumento ação de acolhimento institucional;2
pretensão de reforma da decisão;2
o poder familiar dos genitores;2
do estatuto da criança e;2
de medida de proteção de;2
da decisão que determinou a;2
sob a guarda do sogro;2
criança inserida na família extensa;2
a perda do poder familiar;2
sem prejuízo de que a;2
o entendimento da câmara eca;2
entendimento da câmara eca medida;2
da câmara eca medida protetiva;2
câmara eca medida protetiva de;2
eca medida protetiva de acolhimento;2
em situação de risco determinaçao;2
situação de risco determinaçao de;2
de risco determinaçao de suspensão;2
risco determinaçao de suspensão das;2
determinaçao de suspensão das visitas;2
de suspensão das visitas das;2
suspensão das visitas das avós;2
das visitas das avós paterna;2
visitas das avós paterna e;2
das avós paterna e materna;2
avós paterna e materna e;2
paterna e materna e dos;2
e materna e dos genitores;2
melhor interesse da criança colocação;2
em família substituta e formação;2
família substituta e formação de;2
substituta e formação de ppa;2
e formação de ppa provisório;2
formação de ppa provisório determinada;2
de ppa provisório determinada na;2
ppa provisório determinada na ação;2
provisório determinada na ação de;2
determinada na ação de destituição;2
na ação de destituição do;2
destituição do poder familiar julgada;2
do poder familiar julgada procedente;2
poder familiar julgada procedente ainda;2
familiar julgada procedente ainda não;2
julgada procedente ainda não transitada;2
procedente ainda não transitada em;2
ainda não transitada em julgado;2
não transitada em julgado para;2
transitada em julgado para ver;2
em julgado para ver garantido;2
julgado para ver garantido o;2
para ver garantido o direito;2
de convivência familiar decisão agravada;2
convivência familiar decisão agravada confirmada;2
alegação de prejuízo superada pelo;2
de prejuízo superada pelo julgamento;2
prejuízo superada pelo julgamento colegiado;2
superada pelo julgamento colegiado decisão;2
pelo julgamento colegiado decisão da;2
julgamento colegiado decisão da relatora;2
colegiado decisão da relatora chancelada;2
decisão da relatora chancelada agravo;2
da relatora chancelada agravo interno;2
relatora chancelada agravo interno desprovido;2
agravo de instrumento família decisão;2
de instrumento família decisão agravada;2
