"";"";"";"";"nulidade";""
"25";"deferir";"-0.287635578182005";"0.877518214707458";"1.0199808116426";"167"
"26";"aproximação";"-0.287635578182005";"0.877518214707458";"1.0199808116426";"168"
"27";"oferecer";"2.09005680921215";"-1.31262352368453";"1.00076504230161";"178"
"28";"contexto";"-0.108912747488266";"1.55574338640739";"0.992294753105648";"182"
"29";"tramitação";"-0.0891121176614242";"2.28662962318152";"0.991280511357265";"186"
"30";"informar";"-0.196783393185641";"1.88341470219042";"0.991280511357265";"188"
"31";"contraindica";"-0.196783393185641";"1.88341470219042";"0.991280511357265";"189"
"32";"sogro";"-0.0463352599917522";"1.97134705311336";"0.991280511357265";"190"
"33";"proporcionar";"-0.0463352599917522";"1.97134705311336";"0.991280511357265";"191"
"34";"nascer";"-0.0463352599917522";"1.97134705311336";"0.991280511357265";"192"
"35";"promover";"-0.111229677846297";"1.2528495620541";"0.991280511357265";"194"
"36";"protetivas";"-0.500041412122384";"0.556225933677658";"0.982590926648143";"198"
"37";"situação";"0.471311154947118";"0.585618329870664";"0.982042687865233";"199"
"38";"recurso";"-0.215212553024489";"0.43110873091172";"0.974888171748259";"200"
"39";"novo";"0.114339873726895";"1.67595344050077";"0.96417010354237";"202"
"40";"visitação";"0.101069337615972";"1.05568540382432";"0.96417010354237";"203"
"41";"residir";"0.101069337615972";"1.05568540382432";"0.96417010354237";"204"
"42";"grave";"-0.300901978200802";"0.461666002367248";"0.96417010354237";"205"
"43";"recorrente";"0.0893430538433572";"1.7120489355167";"0.955316047198375";"207"
"44";"determinado";"-0.391826890057755";"0.616281724127161";"0.941308546295027";"211"
"45";"procedimento";"-0.245818772251568";"0.748830910815229";"0.940705483633826";"212"
"46";"formação";"-0.277901415503822";"0.985292838366346";"0.940705483633826";"215"
"47";"vínculo";"0.158086207889105";"0.741642365875045";"0.938402880745605";"218"
"48";"contato";"-0.357383297619358";"1.12082488903959";"0.935579451013619";"221"
"49";"pai";"-0.0268896114861559";"0.768319913283605";"0.931577307898377";"223"
"50";"momento";"-0.0637039424639631";"1.38951242632414";"0.931577307898377";"224"
"51";"social";"0.108799444611002";"0.772999301149232";"0.92954882440161";"225"
"52";"existência";"0.141698634733339";"1.57306913463978";"0.927958931931171";"226"
"53";"parente";"0.141698634733339";"1.57306913463978";"0.927958931931171";"227"
"54";"denotar";"0.141698634733339";"1.57306913463978";"0.927958931931171";"228"
"55";"interessado";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"231"
"56";"indeferimento";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"232"
"57";"fundamental";"-0.593147976149162";"-0.135460692181267";"0.927958931931171";"233"
"58";"evidente";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"234"
"59";"estágio";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"235"
"60";"estudo";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"236"
"61";"drástico";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"237"
"62";"causar";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"238"
"63";"apto";"0.0768042168787938";"0.854571643580526";"0.927958931931171";"239"
"64";"prejuízo";"0.757758743820329";"1.16693593099545";"0.916308857794336";"253"
"65";"período";"-0.650941290240718";"1.08405289558277";"0.916308857794336";"254"
"66";"contar";"-0.0137991484433337";"1.20429907287429";"0.916308857794336";"256"
"67";"mês";"-0.0137991484433337";"1.20429907287429";"0.916308857794336";"258"
"68";"devido";"0.0348716649475752";"1.74317219116873";"0.916308857794336";"259"
"69";"perda";"0.0622429521247936";"1.31338986872855";"0.912169654983366";"265"
"70";"núcleo";"-0.326568782151293";"0.616766240352102";"0.912169654983366";"266"
"71";"imediato";"-0.953382998577997";"-0.2631845126773";"0.908825398407616";"267"
"72";"cuidado";"0.0817410633666678";"0.856115258641901";"0.901506410655768";"269"
"73";"presente";"-0.0672587994688936";"0.708803099470304";"0.900903347994568";"270"
"74";"retorno";"-0.125884715911273";"0.929269469172423";"0.900903347994568";"271"
"75";"negligência";"0.427656398105685";"-0.208782093531539";"0.888814682831404";"275"
"76";"forma";"-0.810545445999575";"0.474920962571093";"0.885826781464545";"278"
"77";"convívio";"-0.248698927469277";"1.30861670934301";"0.882427701010504";"280"
"78";"suficiente";"-0.140956529848144";"0.810794249719151";"0.882427701010504";"281"
"79";"saudável";"-0.663940779396975";"0.0943292712094883";"0.882427701010504";"282"
