"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"direito";-0,824399530809679;-1,26295668307212;-0,0891189419455768;0,125797034565732;0,265074804297;-0,535649040691813;-0,820599127535253;-0,0579045401854287;0,0817359282347348;0,172230889668031;0,330970883070214;0,644116615930783;0,00256611368858386;0,0047698475750538;0,0175765397353637;0,00773169202063484;0,0181457943718029;9,03522803422481e-05;0,000180027927338181;0,00079934814838979;0,0113762486126526;0,883990095310956;0,00888983852189867
"ação";0,0156810876196838;-0,0390665553085242;1,02023201197699;-0,237496102211991;-0,330108963131229;0,014267201661294;-0,0355441176222475;0,928242747519122;-0,216082255657857;-0,300344673878487;0,000314049509770974;0,00161632715702124;0,881993089753152;0,044586985059567;0,0714895485204887;3,27498125109255e-06;2,03266913696867e-05;0,0138629082121546;0,000751223954262667;0,0014513464267202;0,0133185349611543;0,545860512949769;0,00396843995024796
"destituição";0,6753014987476;0,117580789871717;1,07237594050328;-0,339510223423657;0,151683552006369;0,509299364805996;0,0886771637647953;0,808765249809824;-0,256052061864945;0,1143968091758;0,347150774995931;0,00872707550883106;0,580815728352247;0,054309749776339;0,00899667136665226;0,00569407467799222;0,000172623722699377;0,0143589226136689;0,00143924074123562;0,000287279549866009;0,0124861265260821;0,707038725573354;0,00624186159148659
"desprover";0,178110198093459;-0,111400381352199;-0,149784897433198;-0,346064367836771;-0,975672093185908;0,166942542139422;-0,104415485790872;-0,140393261134152;-0,324365847261747;-0,914496650245024;0,051166297200971;0,0165978962612086;0,0240084433054221;0,119555500714673;0,788671862517723;0,000343287032167247;0,000134292939414871;0,00024278166050607;0,00129596596025646;0,0103011945903022;0,0108213096559378;0,485737182636411;0,00255318640766558
"manter";0,984007837843594;-0,680584358742668;0,175374266873442;-0,111507305650987;-0,0215255100082341;0,81018631553298;-0,56036152641575;0,144395019686902;-0,0918099324476544;-0,0177231044030683;0,701287809643883;0,278186709198634;0,0147792516626438;0,0055738489539679;0,000172380540871926;0,00967196761868882;0,00462680979388071;0,000307219979281437;0,000124200791256252;4,62833321868068e-06;0,00998890122086571;0,724861394541169;0,00524840884757549
"guarda";0,961781877724595;0,368346255345618;-0,165430944571256;0,0246162912270718;0,969389665053581;0,675305886378021;0,258630777124526;-0,116155745128352;0,0172840919042533;0,680647621010962;0,601146360703505;0,0731160693631829;0,0118000018366768;0,000243737112890917;0,313693830983744;0,00923997716190347;0,00135528376741871;0,000273370229517917;6,05289250164719e-06;0,00938673352321225;0,00998890122086571;0,765228322923623;0,00584924470126583
"dever";-1,33272060378187;-0,864835908967255;-0,420811139010573;0,168520312125461;0,186502185193233;-0,801572176848954;-0,520160339834807;-0,253099186567541;0,101357473614762;0,112172770607886;0,696721143412451;0,243288437304551;0,0460868211796622;0,00689500607484684;0,00700859202848854;0,0187273806587955;0,00788617194192294;0,00186712446148288;0,000299435525182238;0,000366747079109417;0,0105438401775805;0,984949976547534;0,0102288583072801
"filho";0,117859832131679;1,28056988589056;-0,274050402858584;1,43529937420934;-0,65031817811709;0,057428738468515;0,623974357822781;-0,133534628620318;0,699368316538914;-0,316876003443494;0,00476395318977529;0,46635398635709;0,0170890638246199;0,437290675849657;0,0745023207788574;0,000134900915941666;0,0159253810052003;0,000729363711360522;0,0200063680011654;0,00410709784895494;0,00971143174250833;1,05338379463098;0,0107759738228887
"família_substituta";-0,0912573254371115;-0,816221022969309;0,2548664001882;-0,17684126334854;-0,610938811557225;-0,0853199934239471;-0,763116516714268;0,238284427950145;-0,165335718022743;-0,571190259355319;0,0102189069144073;0,677887769417677;0,0528829499455282;0,0237512004615793;0,235259173260809;8,78080407728983e-05;0,00702448302353177;0,000684894981660903;0,000329735746965286;0,00393544861147177;0,0105438401775805;0,556890837073215;0,00326993378685128
"adolescente";-1,22935032948706;-0,79203395068951;0,00925995959119196;0,0969390090566867;0,0504790790327384;-0,838283050248768;-0,540080903025922;0,00631428404507248;0,0661018476596811;0,0344212348020997;0,741316660034655;0,255160419608756;2,79056506169774e-05;0,00285298156460918;0,000642033141363604;0,0109028462951882;0,00452559995981289;6,18595489010324e-07;6,77931349609329e-05;1,83827893784211e-05;0,0072142064372919;0,880802095451742;0,00559687031497133
"negligência";0,427656398105685;-0,208782093531539;0,0375412484102546;-0,426620276576511;0,129029603179445;0,654807530422308;-0,319677403792755;0,0574814086013377;-0,653221069462666;0,197564110308069;0,536062046913242;0,105946077904735;0,00274071620179596;0,330185103270903;0,0250660557093245;0,00147164535249199;0,00035075164117729;1,13404591103809e-05;0,00146452301642629;0,000133965182131717;0,00804661487236404;0,360323013541503;0,00104471352623232
"situação";0,471311154947118;0,585618329870664;-0,926289740786031;-0,273993092236524;0,932624903167799;0,306281524342349;0,380564034763261;-0,601949329678941;-0,178054393724019;0,606066234553518;0,141574193906372;0,181247180125688;0,362813886533242;0,0296140131355692;0,284750726299131;0,00228051209122383;0,00352083980199187;0,00880867627740338;0,000770719184226773;0,00892957846013419;0,0102663706992231;0,772716573685445;0,0061299565538797
"caso";0,0339431092045231;-0,00971619922173314;1,22535089439897;-0,486504475651188;-0,854561168349519;0,0215988266098796;-0,00618265407075015;0,779720600871106;-0,30957464006038;-0,543778072642145;0,00075846501486627;5,15345404344811e-05;0,655805096963739;0,0964395926853465;0,246945310795612;1,02298305213779e-05;8,38219998369879e-07;0,0133317186628578;0,00210154588083141;0,00648412688524657;0,00887902330743618;0,760305972694443;0,00513265413642479
"genitor";0,0614991911136018;0,959295728283851;0,554482444559134;-1,08020798611286;0,56504239111335;0,0373058004781896;0,581914890113438;0,33635257750255;-0,65526103474165;0,342758308245971;0,00203661995083348;0,410912622977305;0,109841971858944;0,388897661026094;0,0883111241868197;3,04335085241931e-05;0,00740488361121134;0,00247393802952384;0,00938918687696943;0,00256906609569858;0,00804661487236404;0,840657252583145;0,005686579876054
"manutenção";-0,452893656787361;-0,278553524206995;0,188743891355941;-0,324054363184574;-0,52501540806136;-0,541705730326425;-0,333177641161789;0,225756413187359;-0,387601157233217;-0,62797049769685;0,410493438459325;0,128766927571289;0,0473021723276405;0,130076507333241;0,283360954308504;0,00187811263147101;0,000710471191173282;0,000326193247862944;0,000961534572659735;0,002523906464251;0,00915649278579356;0,436061441028312;0,00174110326071191
"família";-1,49979068753993;-1,13782283454451;-0,390556788142966;-0,0888813538111989;-0,18257568294755;-0,775753439526603;-0,58852877591715;-0,202012036912519;-0,0459730924465971;-0,0944356537196526;0,652722753216729;0,3115229251172;0,0293668497190905;0,00141885542735694;0,00496861651962221;0,0174756989400893;0,0100582526300515;0,00118506352203313;6,13754332821095e-05;0,000258975760295616;0,00776914539400666;1,14517229870881;0,0101886094962376
"materno";0,0606250338187937;1,36436967152277;0,0877220373673018;0,214182740086726;1,40924822393187;0,0306800802928546;0,690456869625334;0,0443928684299934;0,108389938104534;0,713168239906027;0,00141311468011375;0,59348645172702;0,00196296417143252;0,0109167091066597;0,392220760314773;2,75348661457566e-05;0,0139457891829693;5,76496136727241e-05;0,000343674985038447;0,014878322705241;0,00749167591564928;0,994873464075369;0,00741506011572579
"adoção";1,18463067127035;-0,523219604078603;0,356063140855102;-0,358997216970293;-0,324844424480505;0,829754708538766;-0,366480406605083;0,249398462176232;-0,251453586638931;-0,227531835273368;0,759205192754856;0,122810221604164;0,0455060138119346;0,0431543684368199;0,0293242033922282;0,0105134421025221;0,00205091186473046;0,0009498018666596;0,00096551971376116;0,000790550861024944;0,00749167591564928;0,838702514785863;0,00526980896901207
"art";-1,64693365801934;-1,55846330698662;-0,344516183456131;0,0240709309656721;1,00170438056525;-0,658043133719159;-0,622694225309076;-0,137653698359096;0,00961769817931692;0,400237548390444;0,509756833609296;0,378509935820048;0,014799656447619;6,73978430311875e-05;0,0968661762800046;0,0158047169678847;0,0141523211608482;0,0006915980615779;3,3761387537839e-06;0,00584673834265148;0,00582685904550499;1,42298110831802;0,0117986625769227
