"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"cuidado";0,632528702530147;-1,1265712580577;1,14717859575031;-1,86321276548302;-1,67821665659201;-0,18787122638486;0,207319136427894;-0,369247718579026;0,376002029391201;-0,610691119590669;-0,550056347786022;-0,0615771272638844;0,0728052119429952;0,149550389241502;0,139869987583265;0,269156070397894;0,178150736897738;0,00197557956259058;0,00103929143525276;0,00329681219018539;0,00341852644527056;0,00901782442495167;0,00731598704596814;9,16848152308025e-05;0,00259762750021647;0,704319003869215;0,00128859275922934
"com";0,0766974917437961;0,246834915909137;0,450936859922286;-0,136314110184512;-1,06439114582228;0,172246015293871;0,063664548078187;0,204891098965354;0,374310694470282;-0,113150717504124;-0,883522781990848;0,142976836303643;0,00792442783175117;0,0531480084457441;0,159991730123248;0,0106650893775845;0,530515004374592;0,012293511391405;7,5893434992524e-05;0,000786058869258704;0,00262345343266509;0,0002397306224499;0,0146165337418325;0,000382772082250223;0,0129015499177418;0,258861586456539;0,000864524099097464
"filho";0,302908608333305;-1,25719631335244;1,56177063271428;0,247564267213573;-0,0280330899576395;-1,06183197168687;0,131562869668596;-0,546040456332717;0,678326797427757;0,107525057149192;-0,0121756650654403;-0,461187491731077;0,0240516056349002;0,268284300129147;0,373435686121965;0,00684500932704883;7,16064852651763e-05;0,0909084863900923;0,00040518095723642;0,00697962343801671;0,0107711059805738;0,000270646063421133;3,47030572008214e-06;0,00497894570446947;0,004415966750368;0,586826858640326;0,00152070775505285
"estar";0,425959720889609;0,778810636074784;0,784570051078861;-1,5591098058091;-0,375164951087301;0,132215618492321;0,213177382118723;0,389766460119516;0,392648838318422;-0,780277877316361;-0,187756443187773;0,0661691189170099;0,0445034994266087;0,0963360999798872;0,0881822177151089;0,254031622412223;0,012000274622269;0,0013188475738785;0,000785529845962222;0,00262596764595727;0,00266495006082729;0,0105239561285396;0,000609354665011417;7,56817463559921e-05;0,00432937916702745;0,606655105918802;0,00159334322251863
"acolher";-0,258944652601274;0,352452843862253;-0,277087166071903;-0,467958770522248;-1,91127480279688;0,585308026883326;-0,122304433471512;0,166470112284466;-0,130873484075508;-0,221025735584035;-0,90273106479009;0,276451998197941;0,0189181664540477;0,0226952726721783;0,0126519783626944;0,0263243473381293;0,358262201451006;0,0297307658796937;0,000127729788591001;0,000236635739650616;0,000146255134404596;0,000417151185383259;0,00695864318813206;0,000652600285682669;0,00190492683349208;0,565637026018527;0,000609472282835556
"institucionalmente";0,797860869414587;1,1218750204849;0,112471261286577;-0,0113665017647216;-1,42518478466243;-0,0597156220205199;0,401819753882972;0,565000192263416;0,0566429264318218;-0,00572441276003665;-0,717753459736652;-0,0300740611089997;0,159468153966132;0,204162892294677;0,00185081596143631;1,3789564922516e-05;0,176868935664871;0,00027476888051997;0,00104728178819959;0,00207060937485255;2,08109713128822e-05;2,12550860245992e-07;0,00334157777627782;5,86658193373058e-06;0,00164516408347043;0,600289278831414;0,000592830301092635
"desde";1,2804205291066;3,21221634749015;1,21350456781849;1,90225646416568;-0,96739025336303;-0,502340793402629;0,299829154865426;0,752187340658216;0,28415980587895;0,445441114870321;-0,226528547065134;-0,11763042853228;0,090155641431075;0,367422243358701;0,0472967121332661;0,0847818851524718;0,017888776514128;0,00426831569276501;0,00283916656222637;0,0178687918661061;0,00255016596435423;0,00626648134983136;0,00162064923768601;0,000437001078390135;0,00173175166681098;1,28122846626419;0,002842750684502
"ano";0,144161673012167;-0,204348864746026;0,71653427284117;0,137805525238123;1,44745986864969;0,144254585317319;0,0875574059430398;-0,124112436618691;0,435191135676956;0,0836969637099714;0,879122922601786;0,0876138367560933;0,00513923203275017;0,0066866913281075;0,0741537306908508;0,00200082516841875;0,180094825620527;0,00158281384557312;4,13888235527182e-05;8,31625721732409e-05;0,00102248604862659;3,78195812695093e-05;0,00417250165737998;4,14421909997962e-05;0,00199151441683263;0,604186622257177;0,000726985359237538
"modo";1,67458234161266;-2,25635105290878;0,0920855612388713;2,52121062370332;-0,118155715766904;-1,50319972537017;0,411830840848262;-0,554905499883278;0,022646646374204;0,620042541542263;-0,0290580920186053;-0,369682631590333;0,253410947577032;0,297916060524998;0,000447564783913148;0,244741657357664;0,000438542211359398;0,0628083988482806;0,00242811154112127;0,00440827783700976;7,34241110804218e-06;0,00550394234052689;1,20882961021642e-05;0,00195654118482375;0,00086587583340549;0,999457255967101;0,00086493619058385
"ao";-1,05710379587586;0,800272500076778;-0,088204156468628;0,741216052753176;0,773557560072651;0,391808536766671;-0,603616892506556;0,456963641166914;-0,0503654598928409;0,423241816162574;0,441709141909886;0,223726612602584;0,402697468029143;0,149447150699701;0,0016375033856747;0,0843549454008849;0,0749580840364296;0,017016232514108;0,0120948614085109;0,00693172649557469;8,42061349288057e-05;0,00594641567299116;0,00647665705629874;0,00166155002038315;0,0108234479175686;0,500493667845798;0,00271120780536994
